Date,Team,Opponent,Imp_H,Imp_D,Imp_A,Mod_H,Mod_D,Mod_A,suspicious
2024-08-24,Hertha,Regensburg,0.6057427559984266,0.2235479218565622,0.17070932214501117,0.19288178174661386,0.1557316062899608,0.6513866119634253,True
2020-11-03,Panathinaikos,Apollon,0.6761868406440866,0.21862853970016655,0.1051846196557468,0.20194723683696308,0.07004652965854793,0.728006233504489,True
2021-12-20,AEK,OFI Crete,0.6866642573183954,0.19660281893747744,0.11673292374412723,0.1890424871821565,0.08373042391813786,0.7272270888997057,True
2024-10-04,Marseille,Angers,0.7619047619047619,0.15873015873015872,0.07936507936507936,0.14598363654090935,0.052512269161432056,0.8015040942976587,True
2024-05-12,Darmstadt,Hoffenheim,0.2004950495049505,0.21163366336633663,0.5878712871287128,0.2144581935210787,0.639511690322555,0.14603011615636632,True
2023-10-28,Anderlecht,Oud-Heverlee Leuven,0.6129214075959531,0.21657500083644532,0.1705035915676015,0.2087251876887303,0.16030860516881598,0.6309662071424537,True
2023-06-03,Troyes,Lille,0.07885055185442974,0.14557024957740877,0.7755791985681615,0.10250209057118438,0.856733662117891,0.040764247310924547,True
2023-12-30,Elgin,Peterhead,0.2136005116179919,0.24920059688765722,0.537198891494351,0.2413675597288317,0.5733294524865303,0.185302987784638,True
2022-05-15,Eastleigh,Grimsby,0.19821483533394893,0.24776854416743618,0.554016620498615,0.24534384950503635,0.5864959037758007,0.16816024671916302,True
2024-04-20,Paris FC,Valenciennes,0.6738145998350477,0.2116369181929942,0.11454848197195812,0.1745683940572173,0.08240657109593315,0.7430250348468495,True
2024-04-14,Inter,Cagliari,0.802675585284281,0.11839464882943143,0.07892976588628761,0.1366746037419943,0.03941073029443506,0.8239146659635705,True
2023-04-02,Go Ahead Eagles,Ajax,0.12286374133949193,0.1842956120092379,0.6928406466512702,0.1454751585148692,0.7784569319987517,0.07606790948637919,True
2021-05-11,Denizlispor,Galatasaray,0.07134220072551391,0.14268440145102781,0.7859733978234583,0.08841593996887138,0.8293367320677254,0.08224732796340317,True
2024-10-19,Paris SG,Strasbourg,0.7419115512402826,0.16386568175220156,0.0942227670075159,0.14664430668626707,0.05494158762772838,0.7984141056860046,True
2025-04-27,Villarreal,Espanol,0.6585879873551107,0.1896733403582719,0.15173867228661753,0.1976684132806348,0.09324282641549742,0.7090887603038678,True
2021-12-01,Lyon,Reims,0.6609049313675648,0.19166243009659378,0.14743263853584138,0.2120547010989336,0.09693338732378011,0.6910119115772863,True
2025-03-08,Benfica,Nacional,0.7780921584478578,0.13561034761519808,0.08629749393694423,0.15301425259974644,0.060478484722888325,0.7865072626773653,True
2021-10-30,Dortmund,FC Koln,0.6528835690968444,0.18933623503808486,0.15778019586507072,0.2176739367543059,0.14100524939225018,0.641320813853444,True
2021-10-23,Brighton,Man City,0.11906893464637423,0.20053715308863027,0.6803939122649956,0.20560901576260032,0.6917908897782763,0.1026000944591234,True
2024-01-27,Leverkusen,M'gladbach,0.7333822254816987,0.17201146743116208,0.09460630708713914,0.1908703599621404,0.0544417179554995,0.7546879220823601,True
2024-11-23,Bodrumspor,Galatasaray,0.125812167749557,0.20968694624926165,0.6645008860011814,0.207664937410601,0.6541583697966694,0.13817669279272957,True
2024-02-17,Bradford,Sutton,0.5883926183471516,0.23829901043059643,0.17330837122225196,0.22466616149688798,0.1596040495004012,0.6157297890027108,True
2022-08-20,Burnley,Blackpool,0.6045340050377834,0.23727959697732998,0.15818639798488665,0.2192848608192132,0.13771916517629426,0.6429959740044926,True
2024-12-07,Angers,Lyon,0.19069369112189552,0.2383671139023694,0.5709391949757351,0.260549181227464,0.5896843644661078,0.1497664543064281,True
2023-11-04,Levante,Mirandes,0.5474785570898474,0.26309386215706554,0.1894275807530872,0.24017791281993933,0.18406148356299473,0.575760603617066,True
2022-10-29,Burnley,Reading,0.5898914063547392,0.23743129105778257,0.17267730258747824,0.23150377233430303,0.15665473512693312,0.6118414925387639,True
2023-01-04,Spezia,Atalanta,0.1962973846605936,0.24537173082574198,0.5583308845136645,0.21391603780540708,0.6351408049399166,0.15094315725467622,True
2022-02-20,Almeria,Mirandes,0.6045340050377834,0.23727959697732998,0.15818639798488665,0.24456928051477048,0.14420879567494976,0.6112219238102797,True
2022-04-03,Tottenham,Newcastle,0.6340391980175715,0.2196440639783735,0.14631673800405498,0.1978817168525681,0.16030856006645577,0.6418097230809761,True
2025-04-12,Leverkusen,Union Berlin,0.7042253521126761,0.1971830985915493,0.09859154929577466,0.1689363558021777,0.07993631610262882,0.7511273280951934,True
2022-04-02,Ascoli,Pordenone,0.5366269165247018,0.2606473594548552,0.2027257240204429,0.23187558441452233,0.2073400090295499,0.5607844065559278,True
2025-03-16,Pisa,Mantova,0.5700325732899023,0.250814332247557,0.17915309446254069,0.22466319964293802,0.18978755567861974,0.5855492446784422,True
2022-10-01,Paris SG,Nice,0.8158594211458948,0.11134081512108682,0.0727997637330183,0.05144528489496952,0.032109778005581416,0.916444937099449,True
2021-10-02,Porto,Pacos Ferreira,0.7510668563300142,0.17069701280227595,0.07823613086770981,0.15036071911513987,0.04745431069757943,0.8021849701872806,True
2021-09-19,Tottenham,Chelsea,0.19022379269729095,0.2502944640753828,0.5594817432273262,0.21791234771605855,0.6515367115080568,0.13055094077588464,True
2024-09-14,Liverpool,Nott'm Forest,0.7755791985681615,0.14557024957740877,0.07885055185442974,0.15076074760569372,0.0475574926671347,0.8016817597271715,True
