Date,Team,Opponent,Imp_H,Imp_D,Imp_A,Mod_H,Mod_D,Mod_A,suspicious
2024-08-24,Hertha,Regensburg,0.6057427559984266,0.2235479218565622,0.17070932214501117,0.19288178174661386,0.1557316062899608,0.6513866119634253,True
2020-11-03,Panathinaikos,Apollon,0.6761868406440866,0.21862853970016655,0.1051846196557468,0.20194723683696308,0.07004652965854793,0.728006233504489,True
2024-12-14,Blackburn,Luton,0.43785365853658537,0.27687804878048783,0.28526829268292686,0.2953860941256946,0.25417076166434677,0.4504431442099587,False
2022-10-04,Hartlepool,Doncaster,0.39471577261809454,0.27862289831865494,0.3266613290632506,0.2918224620091857,0.2813681376870988,0.4268094003037154,False
2021-12-20,AEK,OFI Crete,0.6866642573183954,0.19660281893747744,0.11673292374412723,0.1890424871821565,0.08373042391813786,0.7272270888997057,True
2024-10-04,Marseille,Angers,0.7619047619047619,0.15873015873015872,0.07936507936507936,0.14598363654090935,0.052512269161432056,0.8015040942976587,True
2022-11-08,Elche,Girona,0.2888402625820569,0.2844638949671772,0.42669584245076586,0.26941568679436867,0.43020338724976187,0.3003809259558695,False
2023-11-11,Carlisle,Bristol Rvs,0.32075471698113206,0.274932614555256,0.40431266846361186,0.2671879661801505,0.3758822313802314,0.3569298024396181,False
2022-12-29,Bradford,Harrogate,0.5263157894736842,0.2631578947368421,0.21052631578947367,0.2634336144875765,0.19559823392770162,0.5409681515847219,False
2023-10-07,Bastia,Annecy,0.48519443453442745,0.27827327863003926,0.23653228683553335,0.3181622166693437,0.22076594755410026,0.4610718357765561,False
2024-11-30,Zwolle,Sparta Rotterdam,0.3359683794466403,0.26877470355731226,0.3952569169960474,0.28338526189161933,0.4309857248162974,0.28562901329208334,False
2024-05-12,Darmstadt,Hoffenheim,0.2004950495049505,0.21163366336633663,0.5878712871287128,0.2144581935210787,0.639511690322555,0.14603011615636632,True
2022-10-20,Fulham,Aston Villa,0.32907857997606704,0.2891902672516953,0.3817311527722378,0.27776735923020013,0.4125576631975464,0.3096749775722536,False
2023-10-28,Anderlecht,Oud-Heverlee Leuven,0.6129214075959531,0.21657500083644532,0.1705035915676015,0.2087251876887303,0.16030860516881598,0.6309662071424537,True
2023-01-14,Antalyaspor,Giresunspor,0.4942630185348632,0.26972639011473964,0.23601059135039718,0.29201582538412,0.23807101754761134,0.46991315706826864,False
2023-11-12,Wehen,Kaiserslautern,0.3295758502101644,0.25487199082919376,0.415552158960642,0.247208034137591,0.45790045498456056,0.29489151087784843,False
2023-06-03,Troyes,Lille,0.07885055185442974,0.14557024957740877,0.7755791985681615,0.10250209057118438,0.856733662117891,0.040764247310924547,True
2021-04-06,Goztep,Rizespor,0.41883568448241604,0.27717067355454006,0.3039936419630439,0.29107455449767655,0.296861476714644,0.4120639687876794,False
2023-09-09,Eastleigh,Gateshead,0.31013215859030835,0.28105726872246695,0.40881057268722465,0.26076956916128297,0.4389399095774076,0.30029052126130945,False
2022-02-26,Newport County,Tranmere,0.4317656129529684,0.2968388589051658,0.27139552814186585,0.31543415874327685,0.23431922479215964,0.4502466164645635,False
2022-10-08,Scunthorpe,Aldershot,0.48020954598370197,0.24330616996507567,0.2764842840512224,0.2713374083617327,0.25242841357020795,0.4762341780680594,False
2023-10-07,Montrose,Alloa,0.4740811684424758,0.25152639770142465,0.2743924338560996,0.2631570045787326,0.26453368857919524,0.4723093068420722,False
2024-04-20,Montrose,Hamilton,0.2733485193621868,0.2255125284738041,0.5011389521640092,0.20208714468053643,0.5326282165319791,0.26528463878748443,False
2023-12-30,Elgin,Peterhead,0.2136005116179919,0.24920059688765722,0.537198891494351,0.2413675597288317,0.5733294524865303,0.185302987784638,True
2023-09-17,Twente,Ajax,0.36458333333333337,0.27083333333333337,0.36458333333333337,0.2854641670346908,0.3366276747313206,0.3779081582339886,False
2025-02-02,Sparta Rotterdam,Groningen,0.5322128851540617,0.26610644257703087,0.20168067226890757,0.2765249850933576,0.19621000352186416,0.5272650113847782,False
2022-05-15,Eastleigh,Grimsby,0.19821483533394893,0.24776854416743618,0.554016620498615,0.24534384950503635,0.5864959037758007,0.16816024671916302,True
2024-04-20,Paris FC,Valenciennes,0.6738145998350477,0.2116369181929942,0.11454848197195812,0.1745683940572173,0.08240657109593315,0.7430250348468495,True
2022-04-02,Blackpool,Nott'm Forest,0.30793763288447906,0.2892747460429955,0.4027876210725253,0.2926936690800746,0.39905080269149407,0.30825552822843133,False
2024-04-14,Inter,Cagliari,0.802675585284281,0.11839464882943143,0.07892976588628761,0.1366746037419943,0.03941073029443506,0.8239146659635705,True
2023-04-02,Go Ahead Eagles,Ajax,0.12286374133949193,0.1842956120092379,0.6928406466512702,0.1454751585148692,0.7784569319987517,0.07606790948637919,True
2023-11-25,Boreham Wood,Woking,0.4212775048066652,0.26639606921597947,0.31232642597735527,0.2777420659344218,0.3075151333685689,0.41474280069700925,False
2025-08-30,Arbroath,Airdrie Utd,0.4347826086956522,0.2608695652173913,0.30434782608695654,0.27636178307618914,0.25610912089605037,0.46752909602776055,False
2021-05-11,Denizlispor,Galatasaray,0.07134220072551391,0.14268440145102781,0.7859733978234583,0.08841593996887138,0.8293367320677254,0.08224732796340317,True
2025-01-26,Nantes,Lyon,0.2845528455284553,0.26829268292682923,0.4471544715447154,0.2699612047999568,0.4581748239075747,0.27186397129246853,False
2022-11-12,Caen,Annecy,0.514018691588785,0.2803738317757009,0.20560747663551399,0.2841647838305483,0.18935318036813206,0.5264820358013196,False
